Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Puzzle Bobble 4 (Ver 2.04O 19971219),Puzzle Bobble 4,puzzlebobble4,puzzle bobble 4,1,1,main,main,Puzzle Bobble 4,Puzzle Bobble 4,SAME,0,,,
Puzzle Break (set 1),Puzzle Break,puzzlebreak,puzzle break,1,1,main,main,Puzzle Break,Puzzle Break,SAME,0,,,
"Puzzle Club (Yun Sung, set 1)",Puzzle Club,puzzleclub,puzzle club,1,1,main,main,Puzzle Club,Puzzle Club,SAME,0,,,
Puzzle De Bowling (Japan),Puzzle De Bowling,puzzledebowling,puzzle de bowling,1,1,main,main,Puzzle De Bowling,Puzzle De Bowling,SAME,0,,,
Puzzle Game Rong Rong (Europe),Puzzle Game Rong Rong,puzzlegamerongrong,puzzle game rong rong,1,1,main,main,Puzzle Game Rong Rong,Puzzle Game Rong Rong,SAME,0,,,
Puzzle King (Dance &amp;amp;amp;amp; Puzzle),Puzzle King,puzzleking,puzzle king,1,1,main,main,Puzzle King,Puzzle King,SAME,0,,,
Puzzle Star (Sang Ho Soft),Puzzle Star,puzzlestar,puzzle star,1,1,main,main,Puzzle Star,Puzzle Star,SAME,0,,,
Puzzle Yutnori (Korea),Puzzle Yutnori,puzzleyutnori,puzzle yutnori,1,1,main,main,Puzzle Yutnori,Puzzle Yutnori,SAME,0,,,
Puzzlet (Japan),Puzzlet,puzzlet,puzzlet,1,1,main,main,Puzzlet,Puzzlet,SAME,0,,,
Puzzli (revision B),Puzzli,puzzli,puzzli,1,1,main,main,Puzzli,Puzzli,SAME,0,,,
Puzzli 2 Super  Pao Pao Yu Super (ver. 200),Puzzli 2 Super  Pao Pao Yu Super,puzzli2superpaopaoyusuper,puzzli 2 super pao pao yu super,1,1,main,main,Puzzli 2 Super / Pao Pao Yu Super,Puzzli 2 Super / Pao Pao Yu Super,SAME,0,,,
PuzzLove,PuzzLove,puzzlove,puzzlove,1,1,main,main,PuzzLove,PuzzLove,SAME,0,,,
Puzznic (World),Puzznic,puzznic,puzznic,1,1,main,main,Puzznic,Puzznic,SAME,0,,,
Pyros (US),Pyros,pyros,pyros,1,1,main,main,Pyros,Pyros,SAME,0,,,
Q*bert (US set 1),Q*bert,qbert,q bert,1,1,main,main,Q*bert,Q*bert,SAME,0,,,
Qbert's Qubes,Qbert's Qubes,qbertsqubes,qbert s qubes,1,0,main,,Q*bert's Qubes,,WORSE,0,,,
Qix (Rev 2),Qix,qix,qix,1,1,main,main,Qix,Qix,SAME,0,,,
