Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
Into Oblivion (1986)(Mastertronic)[cr],Into Oblivion,intooblivion,Into Oblivion,1,1,main,main,Into Oblivion,Into Oblivion,SAME,0,,,,
Into the Eagle's Nest (1987)(Pandora),Into the Eagle's Nest,intotheeaglesnest,Into the Eagle s Nest,1,1,main,main,Into the Eagle's Nest,Into the Eagle's Nest,SAME,0,,,,
Invasion Of The Zombie Monsters (2013)(Relevo Videogames)(es)(v1.2),Invasion Of The Zombie Monsters,invasionofthezombiemonsters,Invasion Of The Zombie Monsters,1,0,main,,Invasion of the Zombie Monsters,,WORSE,1,1.0,1.0,Invasion of the Zombie Monsters,main
Invitation (1987)(Loriciels)(fr)[cr The Crack'ers Beuh L'1],Invitation,invitation,Invitation,1,1,main,main,Invitation,Invitation,SAME,0,,,,
Iron Lord (1990)(Ubi Soft)(fr)(Disk 1 Side A),Iron Lord,ironlord,Iron Lord,1,1,main,main,Iron Lord,Iron Lord,SAME,0,,,,
Iron Lord (1990)(Ubi Soft)(fr)(Disk 1 Side B),Iron Lord,ironlord,Iron Lord,1,1,main,main,Iron Lord,Iron Lord,SAME,0,,,,
Iron Lord (1990)(Ubi Soft)(fr)(Disk 2 Side A),Iron Lord,ironlord,Iron Lord,1,1,main,main,Iron Lord,Iron Lord,SAME,0,,,,
Iron Lord (1990)(Ubi Soft)(fr)(Disk 2 Side B),Iron Lord,ironlord,Iron Lord,1,1,main,main,Iron Lord,Iron Lord,SAME,0,,,,
Iron Trackers (1989)(Microids)(Side A),Iron Trackers,irontrackers,Iron Trackers,1,1,main,main,Iron Trackers,Iron Trackers,SAME,0,,,,
Iron Trackers (1989)(Microids)(Side B),Iron Trackers,irontrackers,Iron Trackers,1,1,main,main,Iron Trackers,Iron Trackers,SAME,0,,,,
Ishido (1991)(Fraggle)[cr],Ishido,ishido,Ishido,0,0,,,,,SAME,1,0.24888888888888888,0.7333333333333334,Ice Slider,main
Island (2002)(WiteKB)(PD)[cr],Island,island,Island,1,0,main,,The Island,,WORSE,1,1.0,1.0,The Island,main
"Island of Dr. Destructo, The (1987)(Mastertronic)[cr]","Island of Dr. Destructo, The",islandofdrdestructo,Island of Dr Destructo The,0,0,,,,,SAME,1,0.20916808149405772,0.6301169590643275,Indoor Sports,main
"Island, The (1985)(The Adventure Workshop)","Island, The",island,Island The,1,0,main,,The Island,,WORSE,1,1.0,1.0,The Island,main
Isoleur (1985)(Sprites)(fr)[cr],Isoleur,isoleur,Isoleur,1,1,main,main,Isoleur,Isoleur,SAME,0,,,,
Isotopes (1988)(Amstrad Action)[cr],Isotopes,isotopes,Isotopes,0,0,,,,,SAME,1,0.23500000000000001,0.6904761904761904,Isoleur,main
ISS - Incredible Shrinking Sphere (1989)(Activision),ISS - Incredible Shrinking Sphere,issincredibleshrinkingsphere,ISS Incredible Shrinking Sphere,1,1,main,main,ISS: Incredible Shrinking Sphere,ISS: Incredible Shrinking Sphere,SAME,0,,,,
Italia '90 - World Cup Soccer (1990)(Virgin Games),Italia '90 - World Cup Soccer,italia90worldcupsoccer,Italia 90 World Cup Soccer,0,0,,,,,SAME,1,0.2530712530712531,0.8453613053613054,Italian Supercar,main
Italian Supercar (1990)(Codemasters Software)[tape],Italian Supercar,italiansupercar,Italian Supercar,1,1,main,main,Italian Supercar,Italian Supercar,SAME,0,,,,
Italy 1990 (1990)(US Gold),Italy 1990,italy1990,Italy 1990,1,1,main,main,Italy 1990,Italy 1990,SAME,0,,,,
It's a Knockout (1986)(Ocean Software)[cr],It's a Knockout,itsaknockout,It s a Knockout,1,1,main,main,It's a Knockout,It's a Knockout,SAME,0,,,,
