lindbergh|.game
Sony Playstation|.iso;.img;.pbp;.cue;.ccd;.cbn;.m3u;.chd;.mdf;.zip;.7z
Sony PSP Minis|.iso;.img;.pbp;.cue;.ccd;.mdf;.chd;.cbn;.m3u;.toc;.z;.znx
Sony PSP|.cso;.iso;.pbp;.chd;.elf;.prx
spectravideo|.cas;.bin;.zip;;.7z;.m3u
steam|.steam;.bat;.lnk;.url
stv|.zip
sufami|.st;.smc;.sfc;.fig;.zip;.7z;.bs
Super Nintendo Entertainment System - Mario Hacks|.smc;.sfc;.mgd;.zip;.7z;.fig;.gd3;.gd7;.dx2;.bsx;.swc;.rom
Super Nintendo Entertainment System|.smc;.sfc;.mgd;.zip;.7z;.fig;.gd3;.gd7;.dx2;.bsx;.swc;.rom
Super Nintendo MSU-1|.sfc;.smc;.bml;.m3u
supergrafx|.pce;.sgx;.zip;.ccd;.cue;.7z;.chd;.fba
supervision|.bin;.sv;.zip;.7z
supracan|.bin;.zip;.7z
switch|.nso;.nro;.nca;.xci;.nsp;.kip
symbian|.sis;.sisx;.symbian
Taito Type X|.pc;.exe;.wine;.wsquashfs;.wtgz;.bat;.lnk
